person,condition,trial,id,item_class,x,y,trial_p
1,ycup,4,82,2,0.441,0.95,4
1,ycup,4,83,2,0.386,0.905,4
1,ycup,4,84,2,0.441,0.98,4
1,ycup,4,85,2,0.491,0.33,4
1,ycup,4,86,2,0.477,0.374,4
1,ycup,4,87,2,0.491,0.408,4
1,ycup,4,88,2,0.511,0.374,4
1,ycup,4,89,2,0.511,0.394,4
1,ycup,4,90,2,0.525,0.414,4
1,ycup,4,91,2,0.551,0.664,4
1,ycup,4,92,2,0.531,0.674,4
1,ycup,4,93,2,0.551,0.634,4
1,ycup,4,94,2,0.517,0.654,4
1,ycup,4,95,2,0.551,0.6,4
1,ycup,4,96,2,0.497,0.668,4
1,ycup,4,97,2,0.581,0.185,4
1,ycup,4,98,2,0.602,0.111,4
1,ycup,4,99,2,0.547,0.101,4
1,ycup,4,100,2,0.547,0.179,4
1,ycup,4,101,2,0.602,0.145,4
1,ycup,4,102,2,0.588,0.125,4
1,ycup,4,103,2,0.602,0.815,4
1,ycup,4,104,2,0.588,0.829,4
1,ycup,4,105,2,0.547,0.883,4
1,ycup,4,106,2,0.567,0.869,4
1,ycup,4,107,2,0.547,0.805,4
1,ycup,4,108,2,0.602,0.879,4
1,ycup,4,109,2,0.61,0.465,4
1,ycup,4,110,2,0.61,0.499,4
1,ycup,4,111,2,0.59,0.455,4
1,ycup,4,112,2,0.644,0.529,4
1,ycup,4,113,2,0.59,0.479,4
1,ycup,4,114,2,0.575,0.499,4
1,ycup,4,115,2,0.674,0.694,4
1,ycup,4,116,2,0.742,0.66,4
1,ycup,4,117,2,0.742,0.694,4
1,ycup,4,118,2,0.708,0.694,4
1,ycup,4,119,2,0.742,0.724,4
1,ycup,4,120,2,0.728,0.674,4
1,ycup,4,121,2,0.708,0.266,4
1,ycup,4,122,2,0.674,0.3,4
1,ycup,4,123,2,0.728,0.28,4
1,ycup,4,124,2,0.688,0.256,4
1,ycup,4,125,2,0.688,0.28,4
1,ycup,4,126,2,0.688,0.334,4
1,ycup,4,127,2,0.757,0.109,4
1,ycup,4,128,2,0.777,0.089,4
1,ycup,4,129,2,0.736,0.089,4
1,ycup,4,130,2,0.722,0.109,4
1,ycup,4,131,2,0.791,0.109,4
1,ycup,4,132,2,0.791,0.074,4
1,ycup,4,133,2,0.736,0.92,4
1,ycup,4,134,2,0.771,0.926,4
1,ycup,4,135,2,0.757,0.905,4
1,ycup,4,136,2,0.757,0.885,4
1,ycup,4,137,2,0.791,0.851,4
1,ycup,4,138,2,0.736,0.841,4
1,ycup,4,139,2,0.813,0.477,4
1,ycup,4,140,2,0.793,0.517,4
1,ycup,4,141,2,0.793,0.497,4
1,ycup,4,142,2,0.827,0.463,4
1,ycup,4,143,2,0.773,0.477,4
1,ycup,4,144,2,0.827,0.527,4
1,ycup,5,1,2,0.054,0.497,5
1,ycup,5,2,2,0.02,0.517,5
1,ycup,5,3,2,0.02,0.463,5
1,ycup,5,4,2,0.04,0.477,5
1,ycup,5,5,2,0,0.453,5
1,ycup,5,6,2,0,0.531,5
1,ycup,5,7,2,0.03,0.095,5
1,ycup,5,8,2,0.085,0.115,5
1,ycup,5,9,2,0.03,0.149,5
1,ycup,5,10,2,0.03,0.07,5
1,ycup,5,11,2,0.05,0.08,5
1,ycup,5,12,2,0.085,0.08,5
1,ycup,5,13,2,0.03,0.835,5
1,ycup,5,14,2,0.07,0.859,5
1,ycup,5,15,2,0.085,0.879,5
1,ycup,5,16,2,0.03,0.913,5
1,ycup,5,17,2,0.05,0.899,5
1,ycup,5,18,2,0.05,0.879,5
1,ycup,5,19,2,0.105,0.714,5
1,ycup,5,20,2,0.119,0.734,5
1,ycup,5,21,2,0.139,0.694,5
1,ycup,5,22,2,0.139,0.66,5
1,ycup,5,23,2,0.105,0.66,5
