person,condition,trial,id,found,item_class,x,y,trial_p
1,conj_rot,11,12,20,2,0.347,0.442,5
1,conj_rot,11,8,21,2,0.715,0.513,5
1,conj_rot,11,2,22,2,0.618,0.273,5
1,conj_rot,11,3,23,2,0.789,0.401,5
1,conj_rot,11,1,24,2,0.392,0,5
1,conj_rot,12,23,1,1,0.345,0.77,6
1,conj_rot,12,24,2,1,0.44,0.827,6
1,conj_rot,12,14,3,1,0.552,0.686,6
1,conj_rot,12,22,4,1,0.141,0.547,6
1,conj_rot,12,18,5,1,0.274,0.53,6
1,conj_rot,12,9,6,1,0.74,0.513,6
1,conj_rot,12,16,7,1,0.112,0.35,6
1,conj_rot,12,13,8,1,0.165,0.266,6
1,conj_rot,12,8,9,1,0.604,0.371,6
1,conj_rot,12,2,10,1,0.733,0.234,6
1,conj_rot,12,6,11,1,0.336,0.126,6
1,conj_rot,12,5,12,1,0.385,0.069,6
1,conj_rot,12,19,13,2,0.407,0.673,6
1,conj_rot,12,20,14,2,0.514,0.749,6
1,conj_rot,12,15,15,2,0.645,0.761,6
1,conj_rot,12,12,16,2,0.748,0.689,6
1,conj_rot,12,21,17,2,0,0.446,6
1,conj_rot,12,17,18,2,0.181,0.45,6
1,conj_rot,12,11,19,2,0.516,0.451,6
1,conj_rot,12,4,20,2,0.988,0.458,6
1,conj_rot,12,3,21,2,0.85,0.322,6
1,conj_rot,12,7,22,2,0.491,0.3,6
1,conj_rot,12,10,23,2,0.273,0.215,6
1,conj_rot,12,1,24,2,0.488,0,6
1,feat_grid,13,17,1,1,0.24,0.595,1
1,feat_grid,13,12,2,1,0.152,0.459,1
1,feat_grid,13,19,3,1,0.491,0.581,1
1,feat_grid,13,22,4,1,0.49,0.688,1
1,feat_grid,13,24,5,1,0.675,0.692,1
1,feat_grid,13,21,6,1,0.716,0.573,1
1,feat_grid,13,15,7,1,0.693,0.458,1
1,feat_grid,13,7,8,1,0.122,0.252,1
1,feat_grid,13,5,9,1,0.159,0.133,1
1,feat_grid,13,9,10,1,0.605,0.229,1
1,feat_grid,13,6,11,1,0.705,0.108,1
1,feat_grid,13,4,12,1,0.692,0,1
1,feat_grid,13,3,13,2,0.502,0.021,1
1,feat_grid,13,2,14,2,0.372,0.023,1
1,feat_grid,13,1,15,2,0.114,0.043,1
1,feat_grid,13,8,16,2,0.361,0.209,1
1,feat_grid,13,10,17,2,0.605,0.337,1
1,feat_grid,13,14,18,2,0.48,0.464,1
1,feat_grid,13,18,19,2,0.363,0.567,1
1,feat_grid,13,13,20,2,0.251,0.463,1
1,feat_grid,13,11,21,2,0,0.448,1
1,feat_grid,13,16,22,2,0.032,0.597,1
1,feat_grid,13,20,23,2,0.572,0.599,1
1,feat_grid,13,23,24,2,0.573,0.689,1
1,feat_grid,14,17,1,1,0.012,0.616,2
1,feat_grid,14,18,2,1,0.337,0.598,2
1,feat_grid,14,23,3,1,0.452,0.713,2
1,feat_grid,14,14,4,1,0.001,0.477,2
1,feat_grid,14,12,5,1,0.007,0.372,2
1,feat_grid,14,15,6,1,0.578,0.499,2
1,feat_grid,14,16,7,1,0.699,0.501,2
1,feat_grid,14,13,8,1,0.673,0.373,2
1,feat_grid,14,9,9,1,0.461,0.168,2
1,feat_grid,14,8,10,1,0.348,0.15,2
1,feat_grid,14,7,11,1,0.243,0.181,2
1,feat_grid,14,6,12,1,0.66,0,2
1,feat_grid,14,5,13,2,0.576,0.026,2
1,feat_grid,14,4,14,2,0.347,0.053,2
1,feat_grid,14,3,15,2,0.21,0.061,2
1,feat_grid,14,2,16,2,0.156,0.039,2
1,feat_grid,14,1,17,2,0,0.013,2
1,feat_grid,14,11,18,2,0.577,0.264,2
1,feat_grid,14,10,19,2,0.461,0.283,2
1,feat_grid,14,21,20,2,0.701,0.618,2
1,feat_grid,14,24,21,2,0.671,0.7,2
1,feat_grid,14,20,22,2,0.561,0.593,2
1,feat_grid,14,19,23,2,0.462,0.586,2
1,feat_grid,14,22,24,2,0.337,0.706,2
1,feat_grid,15,17,1,2,0.013,0.588,3
1,feat_grid,15,18,2,1,0.341,0.616,3
1,feat_grid,15,20,3,1,0.56,0.598,3
1,feat_grid,15,13,4,1,0.137,0.504,3
1,feat_grid,15,11,5,1,0.159,0.346,3
1,feat_grid,15,8,6,1,0,0.268,3
1,feat_grid,15,9,7,1,0.284,0.238,3
1,feat_grid,15,10,8,1,0.591,0.265,3
1,feat_grid,15,6,9,1,0.381,0.151,3
1,feat_grid,15,5,10,1,0.022,0.128,3
1,feat_grid,15,1,11,1,0.029,0,3
1,feat_grid,15,2,12,1,0.17,0.036,3
1,feat_grid,15,3,13,1,0.46,0.008,3
1,feat_grid,15,4,14,2,0.68,0.03,3
1,feat_grid,15,7,15,2,0.674,0.15,3
1,feat_grid,15,12,16,2,0.661,0.379,3
1,feat_grid,15,16,17,2,0.605,0.488,3
1,feat_grid,15,15,18,2,0.482,0.488,3
1,feat_grid,15,14,19,2,0.352,0.487,3
1,feat_grid,15,19,20,2,0.453,0.585,3
1,feat_grid,15,21,21,2,0.705,0.616,3
1,feat_grid,15,24,22,2,0.44,0.716,3
1,feat_grid,15,23,23,2,0.237,0.701,3
1,feat_grid,15,22,24,2,0.135,0.717,3
1,feat_grid,16,18,1,1,0.12,0.597,4
1,feat_grid,16,19,2,1,0.228,0.584,4
1,feat_grid,16,22,3,1,0.348,0.672,4
1,feat_grid,16,24,4,1,0.59,0.725,4
1,feat_grid,16,17,5,1,0.556,0.468,4
1,feat_grid,16,16,6,1,0.36,0.447,4
1,feat_grid,16,14,7,1,0.6,0.354,4
1,feat_grid,16,10,8,1,0.112,0.238,4
1,feat_grid,16,6,9,1,0.464,0.154,4
1,feat_grid,16,7,10,1,0.568,0.136,4
1,feat_grid,16,4,11,1,0.663,0.017,4
1,feat_grid,16,1,12,1,0,0.009,4
1,feat_grid,16,2,13,2,0.237,0,4
1,feat_grid,16,3,14,2,0.585,0.008,4
1,feat_grid,16,8,15,2,0.667,0.096,4
1,feat_grid,16,5,16,2,0.17,0.157,4
1,feat_grid,16,11,17,2,0.449,0.241,4
1,feat_grid,16,13,18,2,0.45,0.324,4
1,feat_grid,16,9,19,2,0.023,0.257,4
1,feat_grid,16,12,20,2,0.232,0.399,4
1,feat_grid,16,15,21,2,0.1,0.476,4
1,feat_grid,16,20,22,2,0.564,0.585,4
1,feat_grid,16,23,23,2,0.441,0.695,4
1,feat_grid,16,21,24,2,0.014,0.687,4
1,feat_grid,17,22,1,1,0.147,0.701,5
1,feat_grid,17,20,2,1,0.343,0.594,5
1,feat_grid,17,23,3,1,0.359,0.692,5
1,feat_grid,17,16,4,1,0.118,0.468,5
1,feat_grid,17,14,5,1,0.359,0.376,5
1,feat_grid,17,18,6,1,0.566,0.463,5
1,feat_grid,17,19,7,1,0.675,0.493,5
1,feat_grid,17,8,8,1,0,0.246,5
1,feat_grid,17,9,9,1,0.105,0.226,5
1,feat_grid,17,1,10,1,0.036,0.023,5
1,feat_grid,17,6,11,1,0.457,0.096,5
1,feat_grid,17,5,12,1,0.714,0.019,5
1,feat_grid,17,4,13,2,0.578,0.001,5
1,feat_grid,17,3,14,2,0.433,0,5
1,feat_grid,17,2,15,2,0.123,0.02,5
1,feat_grid,17,7,16,2,0.556,0.139,5
1,feat_grid,17,12,17,2,0.673,0.259,5
1,feat_grid,17,11,18,2,0.552,0.262,5
1,feat_grid,17,10,19,2,0.461,0.254,5
1,feat_grid,17,15,20,2,0.6,0.353,5
1,feat_grid,17,13,21,2,0.243,0.37,5
1,feat_grid,17,17,22,2,0.343,0.511,5
1,feat_grid,17,21,23,2,0.559,0.575,5
1,feat_grid,17,24,24,2,0.464,0.692,5
1,feat_grid,18,24,1,1,0.361,0.695,6
1,feat_grid,18,20,2,1,0.267,0.542,6
1,feat_grid,18,16,3,1,0.499,0.462,6
1,feat_grid,18,21,4,1,0.697,0.605,6
1,feat_grid,18,15,5,1,0.236,0.441,6
1,feat_grid,18,12,6,1,0.243,0.367,6
1,feat_grid,18,11,7,1,0.136,0.353,6
1,feat_grid,18,10,8,1,0.043,0.35,6
1,feat_grid,18,7,9,1,0.14,0.216,6
1,feat_grid,18,14,10,1,0.687,0.354,6
1,feat_grid,18,9,11,1,0.696,0.267,6
1,feat_grid,18,3,12,1,0,0.138,6
1,feat_grid,18,2,13,2,0.379,0.03,6
1,feat_grid,18,1,14,2,0.229,0,6
1,feat_grid,18,6,15,2,0.349,0.128,6
1,feat_grid,18,5,16,2,0.265,0.147,6
1,feat_grid,18,4,17,2,0.127,0.134,6
1,feat_grid,18,8,18,2,0.587,0.253,6
1,feat_grid,18,13,19,2,0.48,0.34,6
1,feat_grid,18,17,20,2,0.606,0.482,6
1,feat_grid,18,18,21,2,0.73,0.472,6
1,feat_grid,18,19,22,2,0.031,0.607,6
1,feat_grid,18,22,23,2,0.021,0.681,6
1,feat_grid,18,23,24,2,0.166,0.679,6
1,feat_rot,19,24,1,1,0.319,0.813,1
1,feat_rot,19,23,2,1,0.262,0.747,1
1,feat_rot,19,22,3,1,0.169,0.66,1
1,feat_rot,19,19,4,1,0.232,0.6,1
1,feat_rot,19,20,5,1,0,0.538,1
1,feat_rot,19,16,6,1,0.482,0.672,1
1,feat_rot,19,11,7,1,0.642,0.516,1
1,feat_rot,19,15,8,1,0.193,0.342,1
1,feat_rot,19,10,9,1,0.432,0.275,1
1,feat_rot,19,6,10,1,0.676,0.336,1
1,feat_rot,19,4,11,1,0.44,0.13,1
1,feat_rot,19,1,12,1,0.487,0.019,1
1,feat_rot,19,3,13,2,0.362,0,1
1,feat_rot,19,5,14,2,0.505,0.161,1
1,feat_rot,19,9,15,2,0.251,0.101,1
1,feat_rot,19,13,16,2,0.247,0.26,1
1,feat_rot,19,14,17,2,0.1,0.234,1
1,feat_rot,19,17,18,2,0.108,0.395,1
1,feat_rot,19,18,19,2,0.146,0.504,1
1,feat_rot,19,21,20,2,0.102,0.592,1
1,feat_rot,19,12,21,2,0.694,0.594,1
1,feat_rot,19,8,22,2,0.842,0.5,1
1,feat_rot,19,7,23,2,0.739,0.427,1
1,feat_rot,19,2,24,2,0.817,0.322,1
1,feat_rot,20,21,1,1,0.09,0.516,2
1,feat_rot,20,20,2,1,0,0.446,2
1,feat_rot,20,17,3,1,0.427,0.524,2
1,feat_rot,20,14,4,1,0.561,0.497,2
1,feat_rot,20,10,5,1,0.642,0.428,2
1,feat_rot,20,11,6,1,0.746,0.495,2
1,feat_rot,20,6,7,1,0.787,0.433,2
1,feat_rot,20,16,8,1,0.752,0.649,2
1,feat_rot,20,2,9,1,0.827,0.302,2
1,feat_rot,20,9,10,1,0.49,0.26,2
1,feat_rot,20,7,11,1,0.336,0.125,2
1,feat_rot,20,18,12,1,0.12,0.36,2
1,feat_rot,20,4,13,2,0.414,0,2
1,feat_rot,20,1,14,2,0.64,0.105,2
1,feat_rot,20,8,15,2,0.411,0.215,2
1,feat_rot,20,13,16,2,0.263,0.198,2
1,feat_rot,20,5,17,2,0.722,0.337,2
1,feat_rot,20,3,18,2,0.878,0.33,2
1,feat_rot,20,12,19,2,0.801,0.58,2
1,feat_rot,20,15,20,2,0.657,0.601,2
1,feat_rot,20,19,21,2,0.43,0.647,2
1,feat_rot,20,22,22,2,0.259,0.637,2
1,feat_rot,20,23,23,2,0.412,0.8,2
1,feat_rot,20,24,24,2,0.499,0.92,2
1,feat_rot,21,24,1,1,0.476,0.824,3
1,feat_rot,21,19,2,1,0.629,0.676,3
1,feat_rot,21,15,3,1,0.712,0.634,3
1,feat_rot,21,14,4,1,0.633,0.504,3
1,feat_rot,21,10,5,1,0.782,0.529,3
1,feat_rot,21,13,6,1,0.448,0.367,3
1,feat_rot,21,16,7,1,0.29,0.379,3
1,feat_rot,21,11,8,1,0.225,0.15,3
1,feat_rot,21,5,9,1,0.56,0.13,3
1,feat_rot,21,4,10,1,0.4,0,3
1,feat_rot,21,1,11,1,0.629,0.033,3
1,feat_rot,21,3,12,1,0.906,0.38,3
1,feat_rot,21,2,13,2,0.876,0.31,3
1,feat_rot,21,6,14,2,0.655,0.202,3
1,feat_rot,21,7,15,2,0.543,0.265,3
1,feat_rot,21,12,16,2,0.307,0.216,3
1,feat_rot,21,21,17,2,0,0.341,3
1,feat_rot,21,8,18,2,0.631,0.376,3
1,feat_rot,21,9,19,2,0.697,0.458,3
1,feat_rot,21,18,20,2,0.525,0.599,3
1,feat_rot,21,17,21,2,0.482,0.512,3
1,feat_rot,21,20,22,2,0.527,0.756,3
1,feat_rot,21,23,23,2,0.304,0.647,3
1,feat_rot,21,22,24,2,0.252,0.622,3
1,feat_rot,22,24,1,1,0.135,0.775,4
1,feat_rot,22,20,2,1,0.242,0.705,4
1,feat_rot,22,21,3,1,0.293,0.769,4
1,feat_rot,22,13,4,1,0.554,0.682,4
1,feat_rot,22,15,5,1,0.152,0.447,4
1,feat_rot,22,16,6,1,0.246,0.482,4
1,feat_rot,22,9,7,1,0.553,0.494,4
1,feat_rot,22,10,8,1,0.18,0.287,4
1,feat_rot,22,7,9,1,0.147,0.137,4
1,feat_rot,22,5,10,1,0.38,0.214,4
1,feat_rot,22,2,11,1,0.56,0.193,4
1,feat_rot,22,3,12,1,0.713,0.352,4
1,feat_rot,22,1,13,2,0.312,0,4
